creator_email,project_name,tag,start_date,end_date,curr_capacity,goal_capacity,city,state,description
Aenean@velitduisemper.co.uk,Environment Guest Speaker,Animals,2019-07-05 00:00:00,2019-07-05 17:00:00,0,3,Butte,CO,
lectus@metusInlorem.org,Youth Drive,Environment,2018-09-02 21:00:00,2018-09-03 11:00:00,0,20,Cleveland,AL,
eget.mollis.lectus@quam.edu,LGBT Walk,Disaster Relief,2019-10-17 15:00:00,2019-10-18 09:00:00,0,23,New Orleans,AR,
rutrum.Fusce@Sed.com,Human Rights Charity Auction,Human Rights,2019-02-23 13:00:00,2019-02-23 22:00:00,0,12,Louisville,GA,
tincidunt.vehicula@scelerisquenequeNullam.co.uk,Faith-based Charity Auction,Seniors,2020-02-05 12:00:00,2020-02-06 09:00:00,0,7,Billings,KS,
Nam.ac@rhoncus.ca,Sports Foundation,Technology,2019-08-18 14:00:00,2019-08-19 14:00:00,0,21,Fort Worth,ID,
Donec.tempor.est@risusNullaeget.net,Sports Foundation,Disaster Relief,2019-05-27 00:00:00,2019-05-27 14:00:00,0,2,Iowa City,MS,
Nulla.dignissim.Maecenas@vitae.ca,Women Charity Auction,LGBT,2020-03-20 01:00:00,2020-03-20 14:00:00,0,4,Mesa,WI,
magnis@infaucibusorci.co.uk,Politics Charity,Disaster Relief,2019-10-01 23:00:00,2019-10-02 03:00:00,0,6,Georgia,OK,
fermentum.arcu.Vestibulum@dolorFusce.co.uk,Human Rights Walk,International,2018-08-17 20:00:00,2018-08-18 13:00:00,0,6,Rockville,VT,
In.scelerisque@primisin.edu,Disaster Relief Walk,Human Rights,2019-10-23 18:00:00,2019-10-24 12:00:00,0,25,Billings,ME,
dictum.cursus.Nunc@ornare.org,Arts and Crafts Social Media Fundraising,Youth,2018-04-25 14:00:00,2018-04-25 15:00:00,0,7,Reno,VA,
at.fringilla.purus@sociisnatoque.org,Disaster Relief Charity,Environment,2019-09-24 20:00:00,2019-09-25 06:00:00,0,11,Vancouver,ME,
nisi.a@ridiculusmusProin.edu,Hunger Guest Speaker,International,2018-05-06 16:00:00,2018-05-06 18:00:00,0,21,Metairie,MN,
Sed.malesuada@ipsumSuspendissesagittis.org,Health Walk,Homeless,2019-10-17 07:00:00,2019-10-17 17:00:00,0,24,Flint,MN,
Duis.sit.amet@Aliquam.edu,Technology Foundation,Technology,2020-03-07 15:00:00,2020-03-08 02:00:00,0,8,Toledo,WA,
Phasellus.fermentum@fermentumarcuVestibulum.com,Animals Charity Auction,Sports,2019-12-20 16:00:00,2019-12-21 10:00:00,0,10,Salt Lake City,CA,
tellus.sem.mollis@aodiosemper.com,Disaster Relief Walk,Human Rights,2019-11-03 10:00:00,2019-11-04 01:00:00,0,11,Naperville,LA,
amet@Praesent.co.uk,Environment Charity,Women,2018-10-02 12:00:00,2018-10-03 09:00:00,0,8,Green Bay,OH,
aliquam.iaculis@magnanec.com,Sports Foundation,Youth,2018-08-18 23:00:00,2018-08-19 05:00:00,0,16,Athens,MA,
Mauris.magna.Duis@necdiamDuis.co.uk,Hunger Foundation,Politics,2018-02-28 15:00:00,2018-03-01 02:00:00,0,13,Rochester,AR,
est.ac.mattis@Proinultrices.com,Women Charity Auction,Seniors,2018-11-15 12:00:00,2018-11-15 21:00:00,0,13,Miami,UT,
auctor.ullamcorper@risusodio.com,LGBT Guest Speaker,International,2019-01-31 08:00:00,2019-01-31 23:00:00,0,19,Wilmington,VT,
velit.Sed@luctuset.edu,Politics Foundation,Human Rights,2019-08-16 01:00:00,2019-08-16 20:00:00,0,3,New Orleans,WY,
libero.Integer.in@duilectus.org,Disaster Relief Social Media Fundraising,Technology,2018-08-28 07:00:00,2018-08-29 03:00:00,0,14,Reading,OR,
non.feugiat@ullamcorpermagna.org,Seniors Social Media Fundraising,Animals,2019-06-02 12:00:00,2019-06-02 19:00:00,0,3,Newport News,AZ,
vulputate@ametanteVivamus.net,Human Rights Drive,Education,2018-10-09 23:00:00,2018-10-10 20:00:00,0,13,Hattiesburg,MI,
lobortis.nisi@egestasFuscealiquet.net,Faith-based Drive,Arts and Crafts,2018-05-10 01:00:00,2018-05-10 21:00:00,0,24,Springfield,DE,
nec.ante@tempuseu.com,LGBT Walk,LGBT,2019-01-30 03:00:00,2019-01-31 02:00:00,0,7,Gary,KS,
laoreet.lectus.quis@consectetueripsum.net,Faith-based Walk,Politics,2020-03-16 00:00:00,2020-03-16 15:00:00,0,2,Boise,IL,
luctus.felis.purus@elementum.net,Women Guest Speaker,Animals,2018-07-21 16:00:00,2018-07-21 17:00:00,0,12,Bowling Green,HI,
in.consequat@quamelementumat.com,Health Social Media Fundraising,Disaster Relief,2018-10-30 07:00:00,2018-10-30 10:00:00,0,6,New Orleans,NE,
non.bibendum.sed@id.edu,Environment Social Media Fundraising,Human Rights,2019-01-11 06:00:00,2019-01-11 09:00:00,0,17,Fort Collins,NV,
Nulla.semper.tellus@habitant.co.uk,Environment Foundation,Arts and Crafts,2018-09-19 06:00:00,2018-09-19 09:00:00,0,14,Racine,MN,
Integer.vulputate@Sednunc.ca,Disaster Relief Charity,Health,2019-01-31 18:00:00,2019-02-01 01:00:00,0,20,Covington,HI,
mollis@amet.edu,LGBT Drive,Seniors,2018-09-23 18:00:00,2018-09-24 09:00:00,0,5,Davenport,MD,
dui.semper.et@magna.org,Hunger Charity Auction,Homeless,2019-09-19 00:00:00,2019-09-19 11:00:00,0,7,Warren,ME,
in.faucibus@estNunc.edu,Technology Foundation,Disaster Relief,2018-03-31 07:00:00,2018-03-31 11:00:00,0,23,Los Angeles,AL,
Donec.porttitor.tellus@eleifendnunc.com,Hunger Walk,Disaster Relief,2018-03-07 03:00:00,2018-03-07 18:00:00,0,9,New Orleans,TX,
dictum.mi.ac@dictumProineget.co.uk,Women Foundation,Youth,2018-02-17 08:00:00,2018-02-17 19:00:00,0,23,Lexington,DE,
amet.nulla@quamCurabiturvel.ca,Politics Charity,Youth,2019-11-11 21:00:00,2019-11-12 10:00:00,0,23,Laramie,NE,
gravida.non@faucibusut.co.uk,Animals Guest Speaker,LGBT,2019-01-01 05:00:00,2019-01-01 17:00:00,0,3,San Jose,LA,
non@cursus.com,Environment Guest Speaker,International,2018-02-16 07:00:00,2018-02-17 05:00:00,0,13,New Orleans,UT,
auctor.non@Suspendissealiquet.edu,International Guest Speaker,Youth,2019-03-09 19:00:00,2019-03-10 07:00:00,0,2,Green Bay,TN,
Aliquam.erat@etarcuimperdiet.edu,LGBT Drive,International,2018-07-07 08:00:00,2018-07-08 02:00:00,0,16,Columbus,WA,
nisi.sem@magna.co.uk,Arts and Crafts Drive,Seniors,2018-12-06 19:00:00,2018-12-07 03:00:00,0,23,Harrisburg,AL,
accumsan.interdum.libero@velitCraslorem.co.uk,Education Charity,Human Rights,2018-08-18 09:00:00,2018-08-18 21:00:00,0,13,Henderson,OR,
mauris@elitCurabitur.edu,Disaster Relief Social Media Fundraising,Sports,2019-12-31 22:00:00,2020-01-01 11:00:00,0,10,Omaha,LA,
consectetuer.adipiscing.elit@Nunccommodoauctor.co.uk,Education Foundation,Homeless,2018-05-03 20:00:00,2018-05-04 00:00:00,0,5,Newark,OK,
non.quam.Pellentesque@estNunc.edu,LGBT Foundation,Health,2018-04-29 12:00:00,2018-04-30 11:00:00,0,11,Pike Creek,IA,
non.magna.Nam@iaculis.com,LGBT Guest Speaker,Animals,2018-08-17 00:00:00,2018-08-17 20:00:00,0,15,Honolulu,CT,
dui@eu.ca,International Foundation,Animals,2018-10-26 16:00:00,2018-10-27 06:00:00,0,12,Owensboro,OR,
vehicula.Pellentesque.tincidunt@loremtristique.net,Women Charity Auction,Human Rights,2018-11-08 14:00:00,2018-11-09 09:00:00,0,19,Overland Park,WA,
fermentum.fermentum@natoquepenatibus.com,Arts and Crafts Charity,Sports,2018-06-15 01:00:00,2018-06-15 19:00:00,0,7,Flint,TN,
turpis@lacus.co.uk,Seniors Charity,Health,2018-12-21 20:00:00,2018-12-21 22:00:00,0,20,Iowa City,NE,
id@sempertellusid.ca,Arts and Crafts Social Media Fundraising,Disaster Relief,2018-04-26 21:00:00,2018-04-27 17:00:00,0,18,Rockville,HI,
lorem@auctornon.ca,Hunger Social Media Fundraising,Human Rights,2018-02-17 06:00:00,2018-02-17 12:00:00,0,9,Dallas,FL,
elementum@ultricesVivamusrhoncus.co.uk,Animals Charity Auction,Politics,2019-06-06 18:00:00,2019-06-07 08:00:00,0,3,Reno,DE,
elit.pellentesque@Pellentesquehabitantmorbi.com,Human Rights Drive,Environment,2019-08-23 05:00:00,2019-08-23 11:00:00,0,11,Frankfort,PA,
mollis@blanditNamnulla.com,Technology Walk,Technology,2018-10-29 06:00:00,2018-10-29 13:00:00,0,10,Lexington,OK,
sem.molestie.sodales@augueacipsum.net,Technology Drive,Technology,2018-03-19 15:00:00,2018-03-20 13:00:00,0,6,Jefferson City,GA,
fermentum.risus.at@nullaIntegervulputate.ca,Hunger Guest Speaker,Homeless,2018-03-10 04:00:00,2018-03-10 09:00:00,0,18,Boston,PA,
auctor.ullamcorper.nisl@Cras.com,LGBT Charity Auction,Sports,2018-09-27 18:00:00,2018-09-27 23:00:00,0,3,Fayetteville,WY,
lobortis.nisi@magnatellus.com,Women Walk,Youth,2018-12-29 14:00:00,2018-12-30 00:00:00,0,24,Vancouver,NE,
nec.cursus.a@orciluctus.com,Environment Social Media Fundraising,Faith-based,2018-03-18 14:00:00,2018-03-19 01:00:00,0,18,Akron,TN,
velit.Sed.malesuada@tempus.ca,Youth Drive,Politics,2019-09-24 01:00:00,2019-09-24 15:00:00,0,20,Dover,DE,
nisi.nibh@ligula.edu,Homeless Guest Speaker,Disaster Relief,2018-01-05 22:00:00,2018-01-06 15:00:00,0,13,Honolulu,PA,
sagittis.Duis@vitaesodales.org,Environment Walk,LGBT,2018-06-30 17:00:00,2018-06-30 21:00:00,0,14,Lakewood,MS,
dictum@arcuAliquamultrices.ca,Seniors Charity,Homeless,2018-06-20 15:00:00,2018-06-20 21:00:00,0,20,Warren,OK,
adipiscing.lobortis.risus@vitaeodio.co.uk,Women Foundation,Animals,2019-02-27 15:00:00,2019-02-28 03:00:00,0,2,Nashville,KY,
Vivamus@maurisIntegersem.net,Women Guest Speaker,Homeless,2018-10-17 01:00:00,2018-10-17 07:00:00,0,11,Boise,KS,
tellus.eu@porttitorvulputateposuere.edu,Politics Social Media Fundraising,Technology,2019-01-03 01:00:00,2019-01-03 08:00:00,0,20,Juneau,OH,
Cras.vehicula.aliquet@ametconsectetuer.com,Homeless Guest Speaker,Animals,2018-09-18 08:00:00,2018-09-19 06:00:00,0,19,Georgia,CO,
erat@Vestibulumante.com,Technology Social Media Fundraising,Hunger,2020-01-01 07:00:00,2020-01-02 03:00:00,0,7,Norman,WA,
mauris@sedest.com,Environment Drive,Faith-based,2019-09-19 17:00:00,2019-09-20 06:00:00,0,6,Independence,UT,
luctus.vulputate.nisi@fermentum.com,Homeless Social Media Fundraising,Health,2019-07-29 21:00:00,2019-07-30 14:00:00,0,19,Waterbury,AK,
non.quam@congueIn.com,Environment Foundation,Seniors,2018-07-09 16:00:00,2018-07-09 20:00:00,0,24,Las Vegas,ME,
eu.eleifend@nunc.co.uk,Animals Social Media Fundraising,LGBT,2019-10-19 21:00:00,2019-10-20 15:00:00,0,6,Flint,NV,
interdum.ligula.eu@volutpat.co.uk,Seniors Drive,Animals,2019-12-19 04:00:00,2019-12-19 16:00:00,0,23,New Orleans,AR,
tincidunt@vel.org,Hunger Drive,Homeless,2019-05-16 22:00:00,2019-05-17 22:00:00,0,10,Evansville,MN,
mi.enim@NulladignissimMaecenas.edu,Seniors Charity,Education,2019-06-18 14:00:00,2019-06-19 12:00:00,0,19,Newport News,LA,
dolor.tempus.non@ullamcorper.ca,Technology Charity,Seniors,2018-01-25 15:00:00,2018-01-26 05:00:00,0,2,Eugene,FL,
elementum.sem.vitae@Aliquamnecenim.org,Youth Walk,LGBT,2018-06-12 10:00:00,2018-06-12 22:00:00,0,4,Fayetteville,TX,
non.dapibus@rutrum.com,Faith-based Walk,Disaster Relief,2020-03-16 23:00:00,2020-03-17 14:00:00,0,21,Fort Smith,MS,
augue.id@sit.co.uk,Arts and Crafts Charity,Animals,2019-10-26 00:00:00,2019-10-26 15:00:00,0,7,Hillsboro,OR,
ac.ipsum.Phasellus@orcilobortisaugue.co.uk,Arts and Crafts Walk,Sports,2019-03-27 06:00:00,2019-03-27 09:00:00,0,16,Dover,IA,
sagittis.augue@ac.org,Youth Foundation,Homeless,2020-03-14 07:00:00,2020-03-14 15:00:00,0,2,Cheyenne,IL,
sed@dictum.net,Arts and Crafts Social Media Fundraising,Arts and Crafts,2019-08-09 15:00:00,2019-08-10 09:00:00,0,5,Evansville,MT,
Cras.vulputate.velit@idmollisnec.net,Education Charity,Faith-based,2018-11-06 17:00:00,2018-11-07 08:00:00,0,6,Bowling Green,AK,
at.nisi@libero.edu,Arts and Crafts Guest Speaker,Hunger,2019-02-17 18:00:00,2019-02-18 06:00:00,0,24,Little Rock,IN,
diam@quisaccumsanconvallis.co.uk,Environment Charity Auction,Arts and Crafts,2018-06-09 04:00:00,2018-06-09 14:00:00,0,17,Warren,VA,
mollis.nec.cursus@mollisDuissit.org,Environment Drive,Politics,2020-03-06 08:00:00,2020-03-07 05:00:00,0,5,Topeka,DE,
ipsum@sitamet.org,Technology Foundation,Environment,2018-09-05 20:00:00,2018-09-06 12:00:00,0,6,Lawton,OH,
ante.ipsum.primis@magnaPhasellus.edu,LGBT Charity Auction,Human Rights,2019-07-28 15:00:00,2019-07-29 04:00:00,0,20,Memphis,AZ,
Duis.mi@nonjusto.net,Youth Guest Speaker,Education,2019-06-25 18:00:00,2019-06-25 20:00:00,0,3,Juneau,MA,
mollis@tristiquealiquet.edu,Youth Social Media Fundraising,Human Rights,2019-11-29 18:00:00,2019-11-30 13:00:00,0,20,Stamford,FL,
pede.malesuada.vel@euerosNam.edu,Sports Charity Auction,Health,2020-04-07 00:00:00,2020-04-07 04:00:00,0,11,Jacksonville,IA,
id.magna@sagittisaugueeu.co.uk,Women Charity Auction,Women,2019-03-22 05:00:00,2019-03-22 08:00:00,0,23,Akron,TN,
sagittis@tincidunt.com,Youth Walk,Environment,2019-01-29 17:00:00,2019-01-30 14:00:00,0,10,Columbus,MA,
nibh.Aliquam@at.org,Environment Guest Speaker,Health,2019-10-17 13:00:00,2019-10-18 13:00:00,0,8,Carson City,MO,
at.fringilla@eu.edu,Faith-based Walk,International,2018-02-03 03:00:00,2018-02-04 02:00:00,0,11,Knoxville,AZ,
sagittis.augue@ac.org,Youth Walk,Politics,2020-02-20 05:00:00,2020-02-20 20:00:00,0,6,Chandler,ME,
purus.Maecenas@dolor.co.uk,Environment Drive,Women,2019-07-31 09:00:00,2019-08-01 08:00:00,0,22,Gulfport,PA,
Nunc@Quisqueporttitoreros.org,Technology Foundation,Politics,2018-12-16 11:00:00,2018-12-16 12:00:00,0,23,Tucson,WY,
Maecenas.mi.felis@pharetrafelis.net,Hunger Walk,Women,2018-03-07 00:00:00,2018-03-07 04:00:00,0,14,Gary,FL,
pede@ligulaAliquam.co.uk,Sports Drive,Technology,2019-02-25 05:00:00,2019-02-26 01:00:00,0,6,Gary,MT,
ligula.Aliquam.erat@volutpatNulla.ca,Animals Drive,Arts and Crafts,2018-12-10 01:00:00,2018-12-10 22:00:00,0,6,Fort Worth,NV,
leo.Vivamus.nibh@parturient.org,Homeless Charity,Hunger,2018-12-15 11:00:00,2018-12-15 21:00:00,0,5,Minneapolis,IA,
adipiscing.enim.mi@massaMauris.co.uk,Environment Walk,Human Rights,2018-01-26 07:00:00,2018-01-27 05:00:00,0,19,Independence,WY,
posuere@Classaptenttaciti.org,Faith-based Charity Auction,Politics,2018-01-04 22:00:00,2018-01-05 10:00:00,0,2,Dallas,WI,
